                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.00013,                0.95404,                      1,                    nan,             0.00057263,             0.00057263,             0.00057263
                     22,                  9e-05,                 0.9588,                      1,                    nan,             0.00056556,             0.00056556,             0.00056556
                     23,                  5e-05,                0.96038,                      1,                    nan,             0.00055849,             0.00055849,             0.00055849
                     24,                  5e-05,                0.96355,                      1,                    nan,             0.00055142,             0.00055142,             0.00055142
                     25,                  3e-05,                0.96197,                      1,                    nan,             0.00054435,             0.00054435,             0.00054435
                     26,                  1e-05,                0.96197,                      1,                    nan,             0.00053728,             0.00053728,             0.00053728
                     27,                  3e-05,                0.96197,                      1,                    nan,             0.00053022,             0.00053022,             0.00053022
                     28,                  1e-05,                0.95087,                      1,                    nan,             0.00052315,             0.00052315,             0.00052315
                     29,                  1e-05,                 0.9588,                      1,                    nan,             0.00051608,             0.00051608,             0.00051608
                     30,                  1e-05,                0.95563,                      1,                    nan,             0.00050901,             0.00050901,             0.00050901
                     31,                  4e-05,                0.96355,                      1,                    nan,             0.00050194,             0.00050194,             0.00050194
                     32,                  6e-05,                 0.9588,                      1,                    nan,             0.00049487,             0.00049487,             0.00049487
                     33,                  5e-05,                0.96672,                      1,                    nan,              0.0004878,              0.0004878,              0.0004878
                     34,                  2e-05,                0.95246,                      1,                    nan,             0.00048074,             0.00048074,             0.00048074
                     35,                  1e-05,                0.95087,                      1,                    nan,             0.00047367,             0.00047367,             0.00047367
                     36,                  2e-05,                0.94612,                      1,                    nan,              0.0004666,              0.0004666,              0.0004666
                     37,                  1e-05,                 0.9477,                      1,                    nan,             0.00045953,             0.00045953,             0.00045953
                     38,                  2e-05,                0.94295,                      1,                    nan,             0.00045246,             0.00045246,             0.00045246
                     39,                  1e-05,                0.94612,                      1,                    nan,             0.00044539,             0.00044539,             0.00044539
                     40,                      0,                0.95721,                      1,                    nan,             0.00043832,             0.00043832,             0.00043832
                     41,                  1e-05,                0.95404,                      1,                    nan,             0.00043126,             0.00043126,             0.00043126
                     42,                  4e-05,                0.95246,                      1,                    nan,             0.00042419,             0.00042419,             0.00042419
                     43,                  3e-05,                0.94453,                      1,                    nan,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00087,                 0.9588,                      1,                    nan,             0.00041005,             0.00041005,             0.00041005
                     45,                0.00042,                 0.9588,                      1,                    nan,             0.00040298,             0.00040298,             0.00040298
                     46,                  9e-05,                0.94136,                      1,                    nan,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00021,                0.96197,                      1,                    nan,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00012,                0.96038,                      1,                    nan,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00018,                0.94929,                      1,                    nan,             0.00037471,             0.00037471,             0.00037471
                     50,                0.00168,                0.96355,                      1,                    nan,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00226,                0.95721,                      1,                    nan,             0.00036057,             0.00036057,             0.00036057
                     52,                0.00326,                0.95404,                      1,                    nan,              0.0003535,              0.0003535,              0.0003535
                     53,                0.00032,                0.94295,                      1,                    nan,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00027,                0.96672,                      1,                    nan,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00186,                0.96355,                      1,                    nan,              0.0003323,              0.0003323,              0.0003323
                     56,                  6e-05,                0.96355,                      1,                    nan,             0.00032523,             0.00032523,             0.00032523
                     57,                  3e-05,                0.96197,                      1,                    nan,             0.00031816,             0.00031816,             0.00031816
                     58,                 0.0002,                 0.9588,                      1,                    nan,             0.00031109,             0.00031109,             0.00031109
                     59,                  1e-05,                0.95721,                      1,                    nan,             0.00030402,             0.00030402,             0.00030402
                     60,                  2e-05,                0.95721,                      1,                    nan,             0.00029695,             0.00029695,             0.00029695
                     61,                  2e-05,                 0.9588,                      1,                    nan,             0.00028988,             0.00028988,             0.00028988
                     62,                  1e-05,                0.96038,                      1,                    nan,             0.00028282,             0.00028282,             0.00028282
                     63,                  2e-05,                0.96355,                      1,                    nan,             0.00027575,             0.00027575,             0.00027575
                     64,                  2e-05,                0.96672,                      1,                    nan,             0.00026868,             0.00026868,             0.00026868
                     65,                  1e-05,                0.96355,                      1,                    nan,             0.00026161,             0.00026161,             0.00026161
                     66,                  1e-05,                0.96038,                      1,                    nan,             0.00025454,             0.00025454,             0.00025454
                     67,                  1e-05,                0.95721,                      1,                    nan,             0.00024747,             0.00024747,             0.00024747
                     68,                  1e-05,                 0.9588,                      1,                    nan,              0.0002404,              0.0002404,              0.0002404
                     69,                  1e-05,                 0.9588,                      1,                    nan,             0.00023334,             0.00023334,             0.00023334
                     70,                      0,                0.96355,                      1,                    nan,             0.00022627,             0.00022627,             0.00022627
                     71,                  3e-05,                 0.9588,                      1,                    nan,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00019,                 0.9588,                      1,                    nan,             0.00021213,             0.00021213,             0.00021213
                     73,                  1e-05,                0.95563,                      1,                    nan,             0.00020506,             0.00020506,             0.00020506
                     74,                  1e-05,                0.95246,                      1,                    nan,             0.00019799,             0.00019799,             0.00019799
                     75,                      0,                0.95563,                      1,                    nan,             0.00019092,             0.00019092,             0.00019092
                     76,                  1e-05,                0.96197,                      1,                    nan,             0.00018385,             0.00018385,             0.00018385
                     77,                  1e-05,                0.96038,                      1,                    nan,             0.00017679,             0.00017679,             0.00017679
                     78,                      0,                0.96672,                      1,                    nan,             0.00016972,             0.00016972,             0.00016972
                     79,                  1e-05,                0.96513,                      1,                    nan,             0.00016265,             0.00016265,             0.00016265
                     80,                  1e-05,                0.96197,                      1,                    nan,             0.00015558,             0.00015558,             0.00015558
                     81,                  1e-05,                 0.9588,                      1,                    nan,             0.00014851,             0.00014851,             0.00014851
                     82,                  1e-05,                0.95721,                      1,                    nan,             0.00014144,             0.00014144,             0.00014144
                     83,                  1e-05,                 0.9588,                      1,                    nan,             0.00013437,             0.00013437,             0.00013437
                     84,                  1e-05,                0.95721,                      1,                    nan,             0.00012731,             0.00012731,             0.00012731
                     85,                  1e-05,                 0.9588,                      1,                    nan,             0.00012024,             0.00012024,             0.00012024
                     86,                      0,                 0.9588,                      1,                    nan,             0.00011317,             0.00011317,             0.00011317
                     87,                      0,                0.95721,                      1,                    nan,              0.0001061,              0.0001061,              0.0001061
                     88,                  1e-05,                0.96038,                      1,                    nan,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                      0,                0.95721,                      1,                    nan,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                  1e-05,                0.96355,                      1,                    nan,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                  1e-05,                0.96672,                      1,                    nan,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                      0,                0.96038,                      1,                    nan,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                      0,                0.96038,                      1,                    nan,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                  1e-05,                0.96513,                      1,                    nan,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                  1e-05,                0.95721,                      1,                    nan,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                  2e-05,                0.96355,                      1,                    nan,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                      0,                0.96038,                      1,                    nan,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                      0,                0.95721,                      1,                    nan,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                      0,                0.96355,                      1,                    nan,             2.1277e-05,             2.1277e-05,             2.1277e-05
